State,Year,Incentive ($),Additional Registration Fee ($/year),dem_margin,num_stations,num_charging_outlets,Electric (EV),Car Sales,EV Sales Market Share,norm_num_stations
Alabama,2016,0.0,200.0,-25.5,113,227,500,224571.22729185823,,0.0005031811125703225
Alaska,2016,0.0,0.0,-10.1,3,5,200,33671.8029772345,,8.909531818145583e-05
Arizona,2016,0.0,0.0,0.3,424,988,4700,414593.61742482404,,0.001022688199190335
Arkansas,2016,0.0,200.0,-27.6,63,89,200,121553.15181872866,,0.0005182917847654946
California,2016,2000.0,108.0,29.2,4184,13655,141500,2104668.7715520747,,0.001987961268088059
Colorado,2016,5000.0,51.88,13.5,445,978,5300,245047.13611427727,,0.0018159771505857352
Connecticut,2016,0.0,0.0,20.1,341,725,2000,171272.78744077415,,0.0019909759460061175
Delaware,2016,2200.0,0.0,19.0,30,67,300,55225.39121135981,,0.0005432283835742032
Florida,2016,0.0,0.0,-3.4,965,2091,11600,1502899.6548055368,,0.0006420921030318975
Georgia,2016,0.0,213.7,0.2,591,1493,18000,535515.8094006333,,0.0011036088750796477
Hawaii,2016,0.0,50.0,29.5,249,566,4200,83695.56124356712,,0.0029750681672994724
Idaho,2016,0.0,140.0,-30.8,60,133,400,86373.35481691688,,0.0006946586725406264
Illinois,2016,0.0,100.0,17.0,524,1109,5800,587340.3270586578,,0.0008921573674740506
Indiana,2016,0.0,150.0,-16.1,196,388,1300,276395.7449498827,,0.0007091281381178267
Iowa,2016,0.0,130.0,-8.2,109,216,400,138197.87247494134,,0.000788724153620848
Kansas,2016,0.0,70.0,-14.7,197,725,600,120538.56839131433,,0.0016343316718385322
Kentucky,2016,0.0,120.0,-25.9,82,167,500,153882.27225023077,,0.0005328748971594226
Louisiana,2016,0.0,100.0,-18.6,79,155,400,249523.16523994718,,0.00031660387092329403
Maine,2016,0.0,0.0,9.1,111,181,300,66435.02378066514,,0.0016708054529560473
Maryland,2016,0.0,0.0,33.2,499,1129,3200,309396.20665425103,,0.0016128187394282775
Massachusetts,2016,2500.0,0.0,33.5,507,1243,3600,351804.279616547,,0.001441142218487536
Michigan,2016,0.0,145.0,2.8,534,1122,1600,621890.4261372361,,0.0008586721672447152
Minnesota,2016,0.0,75.0,7.1,286,687,1600,246548.82054042534,,0.0011600136612825776
Mississippi,2016,0.0,150.0,-16.5,41,64,100,123500.29389397781,,0.000331983015645271
Missouri,2016,0.0,105.0,-15.4,295,1155,1400,328220.2626079071,,0.0008987866795792795
Montana,2016,0.0,0.0,-16.4,36,76,200,71762.84869427621,,0.0005016523264477286
Nebraska,2016,0.0,75.0,-19.2,58,116,300,88569.09507027625,,0.0006548559625000027
Nevada,2016,0.0,0.0,2.4,173,474,2000,156734.2107402263,,0.0011037794440853304
New Hampshire,2016,0.0,0.0,7.4,98,181,400,118399.6145238177,,0.0008277053974722694
New Jersey,2016,4000.0,0.0,15.9,244,494,4200,577636.1646745581,,0.0004224112251307366
New Mexico,2016,0.0,0.0,10.8,58,135,500,88151.39965426363,,0.0006579589232556752
New York,2016,2000.0,0.0,23.1,862,1677,6100,984659.5259040357,,0.0008754295036231742
North Carolina,2016,0.0,140.25,-1.3,453,1015,2900,486058.65307324234,,0.0009319862883538443
North Dakota,2016,0.0,120.0,-33.4,7,9,0,35950.82992985923,,0.0001947103867603929
Ohio,2016,0.0,200.0,-8.0,278,499,2600,604614.745638104,,0.00045979692358743537
Oklahoma,2016,0.0,110.0,-33.1,54,103,600,483692.55366229475,,0.00011164116460164034
Oregon,2016,0.0,91.0,16.1,542,1249,7700,190022.3901329658,,0.0028522954564498544
Pennsylvania,2016,2000.0,0.0,1.2,352,654,3200,662699.6468575743,,0.0005311606874534081
Rhode Island,2016,0.0,0.0,20.8,80,201,300,53360.27391569019,,0.001499242678671419
South Carolina,2016,0.0,60.0,-11.7,200,364,800,243997.21893565945,,0.0008196814737168736
South Dakota,2016,0.0,50.0,-26.2,23,40,100,33146.8443879256,,0.0006938820398957256
Tennessee,2016,2500.0,100.0,-23.2,428,970,2600,293670.1635293289,,0.001457417378927075
Texas,2016,0.0,0.0,-5.6,998,2386,11900,1658373.2077796105,,0.0006017945751404283
Utah,2016,1500.0,130.25,-20.5,127,291,2500,172746.70963383376,,0.0007351804284388297
Vermont,2016,0.0,0.0,35.4,161,380,300,51824.517658024466,,0.0031066376934252254
Virginia,2016,0.0,120.0,10.1,427,991,3100,380043.5183462458,,0.0011235555387395756
Washington,2016,0.0,150.0,19.2,738,1791,14900,338687.8864019394,,0.0021789973294887056
West Virginia,2016,0.0,200.0,-38.9,43,96,100,85733.56153619665,,0.0005015538749296613
Wisconsin,2016,0.0,100.0,0.6,280,445,2600,241984.4570367467,,0.0011570991105328738
Wyoming,2016,0.0,200.0,-43.4,32,63,100,17129.297815574755,,0.0018681442954949449
Alabama,2017,0.0,200.0,-25.5,145,319,800,220327.96906074954,0.136160652357887,0.0006581098197297871
Alaska,2017,0.0,0.0,-10.1,7,11,400,33035.576525331424,0.6054079299831245,0.0002118927754940936
Arizona,2017,0.0,0.0,0.3,432,1041,7200,406759.8989163677,0.614613192367327,0.0010620515964107412
Arkansas,2017,0.0,200.0,-27.6,62,112,300,119256.41319289527,0.08385293278798488,0.0005198881832855063
California,2017,2000.0,108.0,29.2,4683,16111,189700,2064901.1967102664,2.334252121931581,0.0022679051217853927
Colorado,2017,5000.0,51.88,13.5,567,1401,8000,240416.98696353516,1.1230487637753808,0.0023584024039282996
Connecticut,2017,0.0,0.0,20.1,358,782,3000,168036.5996448706,0.5951084478699313,0.002130488243374354
Delaware,2017,3500.0,0.0,19.0,41,113,400,54181.91115984257,0.18456344167150002,0.0007567101108531501
Florida,2017,0.0,0.0,-3.4,1134,2508,15900,1474502.4669391857,0.2916237915102348,0.0007690729757502472
Georgia,2017,0.0,213.7,0.2,698,1882,14400,525397.2742101261,-0.6851957893029008,0.0013285185025928466
Hawaii,2017,0.0,50.0,29.5,275,626,5400,82114.13924469068,1.4613804772697405,0.003348996927076489
Idaho,2017,0.0,140.0,-30.8,77,171,700,84741.33608862702,0.3540184918564937,0.0009086474624316671
Illinois,2017,0.0,100.0,17.0,543,1205,8300,576242.5710936217,0.43384507244151993,0.0009423114973429813
Indiana,2017,0.0,150.0,-16.1,198,399,1900,271173.2659442451,0.22126074925223777,0.0007301604725323846
Iowa,2017,0.0,130.0,-8.2,117,258,600,135586.63297212255,0.1475071661681585,0.0008629169220837272
Kansas,2017,0.0,70.0,-14.7,194,742,1000,118261.00025108339,0.33823492034630886,0.001640439363679598
Kentucky,2017,0.0,120.0,-25.9,95,191,700,150974.6770688637,0.13247254697473174,0.0006292445981299757
Louisiana,2017,0.0,100.0,-18.6,88,195,600,244808.4418200112,0.08169652913646033,0.00035946472820042546
Maine,2017,0.0,0.0,9.1,129,216,500,65179.73847590594,0.3068438209121246,0.001979142644883204
Maryland,2017,1500.0,0.0,33.2,563,1360,4400,303550.186144895,0.3953217803092364,0.0018547180192841676
Massachusetts,2017,2500.0,0.0,33.5,586,1474,5600,345156.9614216738,0.5794465195666808,0.0016977783023303745
Michigan,2017,0.0,145.0,2.8,554,1206,2500,610139.8483745515,0.1475071661681585,0.0009079885561906646
Minnesota,2017,0.0,75.0,7.1,294,760,2300,241890.2971634806,0.2893873827137877,0.0012154270073979085
Mississippi,2017,0.0,150.0,-16.5,57,116,200,121166.76414963126,0.08253088270683535,0.0004704260314289615
