State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Renewable Diesel,Totald,num_stations,num_charging_outlets,Year
Alabama,5.0,32.0,32.0,113 | 227,0 | 0 | 0,2.0,2 | 90 | 92,0.0,390.0,113,227,2016
Alaska,0.0,1.0,0.0,3 | 5,0 | 0 | 0,0.0,0 | 7 | 7,0.0,13.0,3,5,2016
Arizona,76.0,36.0,25.0,424 | 988,0 | 0 | 0,8.0,15 | 78 | 93,0.0,1226.0,424,988,2016
Arkansas,5.0,17.0,44.0,63 | 89,0 | 0 | 0,1.0,1 | 44 | 45,0.0,201.0,63,89,2016
California,42.0,319.0,119.0,"4,184 | 13,655",25 | 14 | 39,44.0,34 | 288 | 322,0.0,14540.0,4184,13655,2016
Colorado,16.0,46.0,88.0,445 | 978,0 | 1 | 1,1.0,0 | 59 | 59,0.0,1189.0,445,978,2016
Connecticut,3.0,19.0,4.0,341 | 725,0 | 2 | 2,1.0,3 | 19 | 22,0.0,776.0,341,725,2016
Delaware,1.0,1.0,1.0,30 | 67,0 | 1 | 1,0.0,5 | 4 | 9,0.0,80.0,30,67,2016
District of Columbia,8.0,3.0,4.0,102 | 241,0 | 1 | 1,0.0,0 | 0 | 0,0.0,257.0,102,241,2016
Florida,14.0,57.0,74.0,"965 | 2,091",0 | 0 | 0,3.0,6 | 147 | 153,0.0,2392.0,965,2091,2016
Georgia,24.0,48.0,56.0,"591 | 1,493",0 | 0 | 0,4.0,6 | 90 | 96,0.0,1721.0,591,1493,2016
Hawaii,8.0,1.0,2.0,249 | 566,0 | 4 | 4,0.0,1 | 5 | 6,0.0,587.0,249,566,2016
Idaho,2.0,11.0,6.0,60 | 133,0 | 0 | 0,6.0,4 | 30 | 34,0.0,192.0,60,133,2016
Illinois,12.0,56.0,263.0,"524 | 1,109",0 | 1 | 1,2.0,42 | 81 | 123,0.0,1566.0,524,1109,2016
Indiana,6.0,35.0,200.0,196 | 388,0 | 0 | 0,2.0,11 | 178 | 189,0.0,820.0,196,388,2016
Iowa,9.0,10.0,210.0,109 | 216,0 | 0 | 0,0.0,3 | 32 | 35,0.0,480.0,109,216,2016
Kansas,5.0,20.0,21.0,197 | 725,0 | 0 | 0,1.0,1 | 40 | 41,0.0,813.0,197,725,2016
Kentucky,4.0,11.0,72.0,82 | 167,0 | 0 | 0,1.0,2 | 36 | 38,0.0,293.0,82,167,2016
Louisiana,2.0,22.0,11.0,79 | 155,0 | 0 | 0,2.0,4 | 46 | 50,0.0,242.0,79,155,2016
Maine,3.0,2.0,0.0,111 | 181,0 | 0 | 0,0.0,4 | 11 | 15,0.0,201.0,111,181,2016
Maryland,11.0,16.0,34.0,"499 | 1,129",0 | 0 | 0,1.0,3 | 29 | 32,0.0,1223.0,499,1129,2016
Massachusetts,12.0,18.0,7.0,"507 | 1,243",0 | 2 | 2,1.0,1 | 34 | 35,0.0,1318.0,507,1243,2016
Michigan,10.0,27.0,254.0,"534 | 1,122",0 | 2 | 2,0.0,11 | 97 | 108,0.0,1523.0,534,1122,2016
Minnesota,7.0,25.0,314.0,286 | 687,0 | 0 | 0,0.0,11 | 40 | 51,0.0,1084.0,286,687,2016
Mississippi,4.0,5.0,3.0,41 | 64,0 | 0 | 0,2.0,4 | 93 | 97,0.0,175.0,41,64,2016
Missouri,3.0,22.0,92.0,"295 | 1,155",0 | 0 | 0,1.0,6 | 62 | 68,0.0,1341.0,295,1155,2016
Montana,7.0,1.0,2.0,36 | 76,0 | 0 | 0,0.0,2 | 53 | 55,0.0,141.0,36,76,2016
Nebraska,1.0,11.0,80.0,58 | 116,0 | 0 | 0,1.0,9 | 19 | 28,0.0,237.0,58,116,2016
Nevada,4.0,6.0,20.0,173 | 474,0 | 0 | 0,2.0,4 | 30 | 34,0.0,540.0,173,474,2016
New Hampshire,4.0,3.0,0.0,98 | 181,0 | 0 | 0,0.0,5 | 16 | 21,0.0,209.0,98,181,2016
New Jersey,5.0,28.0,5.0,244 | 494,0 | 0 | 0,0.0,0 | 21 | 21,0.0,553.0,244,494,2016
New Mexico,5.0,14.0,10.0,58 | 135,0 | 0 | 0,1.0,3 | 52 | 55,0.0,220.0,58,135,2016
New York,35.0,114.0,79.0,"862 | 1,677",0 | 1 | 1,0.0,11 | 66 | 77,0.0,1983.0,862,1677,2016
North Carolina,122.0,40.0,58.0,"453 | 1,015",0 | 0 | 0,1.0,7 | 99 | 106,0.0,1342.0,453,1015,2016
North Dakota,3.0,0.0,43.0,7 | 9,0 | 0 | 0,0.0,0 | 25 | 25,0.0,80.0,7,9,2016
Ohio,14.0,59.0,151.0,278 | 499,0 | 1 | 1,6.0,14 | 89 | 103,0.0,833.0,278,499,2016
Oklahoma,5.0,125.0,30.0,54 | 103,0 | 0 | 0,1.0,6 | 138 | 144,0.0,408.0,54,103,2016
Oregon,52.0,17.0,10.0,"542 | 1,249",0 | 0 | 0,3.0,17 | 44 | 61,0.0,1392.0,542,1249,2016
Pennsylvania,7.0,68.0,41.0,352 | 654,0 | 1 | 1,3.0,9 | 94 | 103,0.0,877.0,352,654,2016
Rhode Island,6.0,5.0,0.0,80 | 201,0 | 0 | 0,0.0,1 | 6 | 7,0.0,219.0,80,201,2016
South Carolina,25.0,12.0,67.0,200 | 364,0 | 1 | 1,1.0,10 | 43 | 53,0.0,523.0,200,364,2016
South Dakota,2.0,1.0,74.0,23 | 40,0 | 0 | 0,0.0,3 | 24 | 27,0.0,144.0,23,40,2016
Tennessee,31.0,19.0,78.0,428 | 970,0 | 0 | 0,5.0,3 | 85 | 88,0.0,1191.0,428,970,2016
Texas,17.0,132.0,193.0,"998 | 2,386",0 | 1 | 1,20.0,20 | 467 | 487,0.0,3236.0,998,2386,2016
Utah,1.0,90.0,1.0,127 | 291,0 | 0 | 0,8.0,3 | 45 | 48,0.0,439.0,127,291,2016
Vermont,3.0,3.0,1.0,161 | 380,0 | 0 | 0,0.0,0 | 2 | 2,0.0,389.0,161,380,2016
Virginia,11.0,21.0,22.0,427 | 991,0 | 0 | 0,2.0,8 | 80 | 88,0.0,1135.0,427,991,2016
Washington,40.0,27.0,21.0,"738 | 1,791",0 | 0 | 0,2.0,19 | 71 | 90,0.0,1971.0,738,1791,2016
West Virginia,2.0,4.0,12.0,43 | 96,0 | 0 | 0,0.0,1 | 12 | 13,0.0,127.0,43,96,2016
Wisconsin,5.0,57.0,151.0,280 | 445,0 | 0 | 0,1.0,4 | 65 | 69,0.0,728.0,280,445,2016
Wyoming,14.0,13.0,10.0,32 | 63,0 | 0 | 0,0.0,4 | 25 | 29,0.0,129.0,32,63,2016
Alabama,5.0,33.0,39.0,145 | 319,0 | 0 | 0,3.0,6 | 83 | 89,0.0,488.0,145,319,2017
Alaska,0.0,1.0,0.0,7 | 11,0 | 0 | 0,0.0,0 | 7 | 7,0.0,19.0,7,11,2017
Arizona,76.0,30.0,21.0,"432 | 1,041",0 | 0 | 0,8.0,22 | 67 | 89,0.0,1265.0,432,1041,2017
Arkansas,4.0,16.0,43.0,62 | 112,0 | 0 | 0,1.0,0 | 40 | 40,0.0,216.0,62,112,2017
California,36.0,322.0,146.0,"4,683 | 16,111",31 | 11 | 42,44.0,44 | 251 | 295,0.0,16996.0,4683,16111,2017
Colorado,16.0,42.0,91.0,"567 | 1,401",0 | 1 | 1,1.0,3 | 53 | 56,0.0,1608.0,567,1401,2017
Connecticut,2.0,21.0,4.0,358 | 782,0 | 2 | 2,1.0,3 | 17 | 20,0.0,832.0,358,782,2017
Delaware,1.0,1.0,1.0,41 | 113,0 | 1 | 1,0.0,6 | 3 | 9,0.0,126.0,41,113,2017
District of Columbia,7.0,2.0,3.0,97 | 264,0 | 1 | 1,0.0,0 | 0 | 0,0.0,277.0,97,264,2017
Florida,14.0,59.0,82.0,"1,134 | 2,508",0 | 0 | 0,3.0,13 | 127 | 140,0.0,2806.0,1134,2508,2017
Georgia,23.0,48.0,53.0,"698 | 1,882",0 | 0 | 0,4.0,17 | 75 | 92,0.0,2102.0,698,1882,2017
Hawaii,8.0,1.0,2.0,275 | 626,0 | 4 | 4,0.0,0 | 5 | 5,0.0,646.0,275,626,2017
Idaho,2.0,11.0,5.0,77 | 171,0 | 0 | 0,2.0,0 | 31 | 31,0.0,222.0,77,171,2017
Illinois,14.0,47.0,270.0,"543 | 1,205",0 | 1 | 1,2.0,48 | 73 | 121,0.0,1660.0,543,1205,2017
Indiana,6.0,35.0,204.0,198 | 399,0 | 0 | 0,1.0,14 | 171 | 185,0.0,830.0,198,399,2017
Iowa,9.0,9.0,247.0,117 | 258,0 | 0 | 0,0.0,1 | 32 | 33,0.0,556.0,117,258,2017
Kansas,3.0,23.0,20.0,194 | 742,0 | 0 | 0,1.0,2 | 36 | 38,0.0,827.0,194,742,2017
Kentucky,5.0,12.0,73.0,95 | 191,0 | 0 | 0,2.0,2 | 34 | 36,0.0,319.0,95,191,2017
Louisiana,7.0,25.0,12.0,88 | 195,0 | 0 | 0,1.0,26 | 49 | 75,0.0,315.0,88,195,2017
Maine,3.0,2.0,0.0,129 | 216,0 | 0 | 0,0.0,4 | 10 | 14,0.0,235.0,129,216,2017
Maryland,13.0,17.0,36.0,"563 | 1,360",0 | 0 | 0,1.0,8 | 26 | 34,0.0,1461.0,563,1360,2017
Massachusetts,11.0,16.0,7.0,"586 | 1,474",0 | 2 | 2,1.0,1 | 33 | 34,0.0,1545.0,586,1474,2017
Michigan,9.0,23.0,254.0,"554 | 1,206",0 | 2 | 2,0.0,15 | 88 | 103,0.0,1597.0,554,1206,2017
Minnesota,7.0,25.0,372.0,294 | 760,0 | 0 | 0,0.0,7 | 41 | 48,0.0,1212.0,294,760,2017
Mississippi,4.0,7.0,5.0,57 | 116,0 | 0 | 0,2.0,8 | 83 | 91,0.0,225.0,57,116,2017
Missouri,3.0,22.0,94.0,"377 | 1,558",0 | 0 | 0,1.0,13 | 56 | 69,0.0,1747.0,377,1558,2017
Montana,7.0,1.0,2.0,33 | 84,0 | 0 | 0,0.0,2 | 46 | 48,0.0,142.0,33,84,2017
Nebraska,2.0,11.0,95.0,64 | 163,0 | 0 | 0,1.0,6 | 21 | 27,0.0,299.0,64,163,2017
Nevada,4.0,6.0,19.0,229 | 604,0 | 0 | 0,1.0,4 | 27 | 31,0.0,665.0,229,604,2017
New Hampshire,4.0,4.0,0.0,100 | 189,0 | 0 | 0,0.0,4 | 25 | 29,0.0,226.0,100,189,2017
New Jersey,5.0,26.0,4.0,265 | 553,0 | 0 | 0,0.0,0 | 19 | 19,0.0,607.0,265,553,2017
New Mexico,5.0,14.0,11.0,61 | 165,0 | 0 | 0,1.0,5 | 54 | 59,0.0,255.0,61,165,2017
New York,34.0,84.0,72.0,"954 | 1,952",0 | 1 | 1,0.0,10 | 61 | 71,0.0,2214.0,954,1952,2017
North Carolina,115.0,43.0,79.0,"595 | 1,352",0 | 0 | 0,1.0,7 | 85 | 92,0.0,1682.0,595,1352,2017
North Dakota,2.0,1.0,41.0,10 | 15,0 | 0 | 0,0.0,2 | 22 | 24,0.0,83.0,10,15,2017
Ohio,14.0,59.0,164.0,378 | 743,0 | 3 | 3,6.0,9 | 83 | 92,0.0,1081.0,378,743,2017
Oklahoma,5.0,120.0,32.0,60 | 137,0 | 0 | 0,2.0,7 | 128 | 135,0.0,431.0,60,137,2017
Oregon,70.0,16.0,10.0,"564 | 1,345",0 | 0 | 0,2.0,14 | 43 | 57,0.0,1500.0,564,1345,2017
Pennsylvania,7.0,77.0,117.0,388 | 770,0 | 0 | 0,3.0,14 | 90 | 104,0.0,1078.0,388,770,2017
Rhode Island,6.0,4.0,0.0,85 | 213,0 | 0 | 0,0.0,1 | 5 | 6,0.0,229.0,85,213,2017
South Carolina,24.0,13.0,64.0,243 | 480,0 | 2 | 2,1.0,7 | 42 | 49,0.0,633.0,243,480,2017
South Dakota,2.0,1.0,77.0,26 | 47,0 | 0 | 0,0.0,3 | 22 | 25,0.0,152.0,26,47,2017
Tennessee,27.0,22.0,81.0,"450 | 1,036",0 | 0 | 0,6.0,6 | 72 | 78,0.0,1250.0,450,1036,2017
Texas,18.0,127.0,215.0,"1,073 | 2,654",0 | 1 | 1,23.0,36 | 434 | 470,0.0,3508.0,1073,2654,2017
Utah,1.0,79.0,1.0,145 | 379,0 | 0 | 0,6.0,6 | 40 | 46,0.0,512.0,145,379,2017
Vermont,2.0,3.0,0.0,173 | 426,0 | 0 | 0,0.0,0 | 2 | 2,0.0,433.0,173,426,2017
Virginia,10.0,23.0,31.0,"474 | 1,094",0 | 0 | 0,2.0,9 | 83 | 92,0.0,1252.0,474,1094,2017
Washington,41.0,25.0,18.0,"810 | 2,136",0 | 0 | 0,2.0,14 | 74 | 88,0.0,2310.0,810,2136,2017
West Virginia,2.0,3.0,33.0,69 | 199,0 | 0 | 0,0.0,0 | 10 | 10,0.0,247.0,69,199,2017
Wisconsin,5.0,56.0,157.0,283 | 489,0 | 0 | 0,1.0,10 | 64 | 74,0.0,782.0,283,489,2017
Wyoming,4.0,14.0,12.0,37 | 91,0 | 0 | 0,0.0,0 | 28 | 28,0.0,149.0,37,91,2017
Alabama,9.0,29.0,40.0,165 | 395,0 | 0 | 0,3.0,3 | 79 | 82,0.0,558.0,165,395,2018
Alaska,0.0,1.0,0.0,7 | 11,0 | 0 | 0,0.0,0 | 6 | 6,0.0,18.0,7,11,2018
Arizona,77.0,28.0,22.0,"480 | 1,227",0 | 0 | 0,8.0,20 | 66 | 86,0.0,1448.0,480,1227,2018
Arkansas,3.0,14.0,43.0,70 | 124,0 | 0 | 0,1.0,1 | 38 | 39,0.0,224.0,70,124,2018
California,29.0,322.0,161.0,"5,480 | 21,166",36 | 6 | 42,47.0,54 | 238 | 292,0.0,22059.0,5480,21166,2018
Colorado,13.0,41.0,81.0,"707 | 1,788",0 | 1 | 1,1.0,3 | 54 | 57,0.0,1982.0,707,1788,2018
Connecticut,2.0,21.0,4.0,383 | 837,0 | 2 | 2,1.0,6 | 16 | 22,0.0,889.0,383,837,2018
Delaware,1.0,1.0,1.0,50 | 133,0 | 1 | 1,0.0,5 | 3 | 8,0.0,145.0,50,133,2018
District of Columbia,7.0,2.0,3.0,124 | 337,0 | 1 | 1,0.0,0 | 0 | 0,0.0,350.0,124,337,2018
Florida,14.0,56.0,88.0,"1,265 | 3,027",0 | 0 | 0,3.0,13 | 126 | 139,0.0,3327.0,1265,3027,2018
